,Text,Emotion
953,There was anger in Jacob 's voice and stance as he led her towards Sylvie 's bedroom . ,anger
954,The anger in her voice took him aback . ,anger
955,"Driving back , she managed to keep her anger in control . ",anger
956,One insider said last week : ` The sheer anger of people has taken everybody by surprise . ,anger
957,"He was court martialled but to the anger of the unpopular Governor , was acquitted . ",anger
958,He also incurred the anger of the apothecaries who were afraid of being put out of business if all their complex mixtures were swept away . ,anger
959,"This time , with deepening anger on the streets over price liberalisation , the hardliners were not to forgo their chance . ",anger
960,"He said nothing , and from the anger on his face she saw that he did n't think he owed her a reply . ",anger
961,"` No , better to limit the damage , control his anger , make nothing of it , pretend he did n't mind . ",anger
962,"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . ",anger
963,"His granddaughter 's anger , so like his own , took some of the sting out of Ballater 's wrath . ",anger
964,His mounting anger was making his speech more and more incomprehensible through his stroke-stiffened mouth . ,anger
965,He said : ` Community anger is running high . ,anger
966,His face darkened with anger . ,anger
967,The guard stiffened in anger . ,anger
968,Mr Jones exploded in anger . ,anger
969,"There were rumours of anger among the grain farmers , who were being given IOUs instead of cash for their crops . ",anger
970,She showed her anger in public by virtually ignoring Charles . ,anger
971,"He looked away , a bitter anger in his eyes . ",anger
972,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . ",anger
973,"Clive Greenacre was not only put out when his agoraphobic wife started to express her anger about his callous behaviour , but also amazed by the sexual demands she then started to make on him . ",anger
974,"` Robots , "" he said , ` gave me a means of venting my anger , "" a remark whose logic baffled me until I read another ` Logic alone can not explain this . "" ",anger
975,There is always a moment in time when we can make a decision whether or not to vent our anger . ,anger
976,Bernice was so angry she could hardly speak . ,anger
977,"Even so , becoming angry when travel arrangements go wrong can hardly help . ",anger
978,So you can see why mothers get angry when they discover that even everyday foods such as apples can cause a build-up of unwanted chemicals in their children 's bodies . ,anger
979,"Always he gets angry when she takes customers home . "" ",anger
980,"People were very angry when Admiral Byng failed to attack the French at Minorca , and the decision to execute him for cowardice was exactly what the public wanted . ",anger
981,Piggy had no sense of humour and often got very angry when other boys found things he did amusing . ,anger
982,Have you ever felt so angry about men that you 've been moved to write a song about it ? ,anger
983,"He was angry about class , hypocrisy and the establishment . ",anger
984,"Believing that he had no ` right "" to be angry over this mishap , Matthew retreated to his bedroom , took out a penknife and cut a painful slit in his own hand . ",anger
985,"I could tell she was angry and I was ready to cry , but Frankie pulled me roughly back off the step and we turned to leave . ",anger
986,"` We do n't go to Lightwater Valley , "" said an equally affronted bus driver . ",anger
987,"Ah was affronted fur her , imagine gettin' stuck ` n "" huvin' to get rolled on to a stretcher , the perr o' them , and kerted oot covered up wi' his poplin shortie . ",anger
988,If you have symptoms that you think may be caused by food intolerance you should not feel affronted if the doctor 's initial questions seem rather personal and irrelevant to the aches and pains being suffered . ,anger
989,"` I do n't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . ",anger
990,The woman was not affronted . ,anger
991,"He ignored the affronted expression that crossed Isabel 's face at this sardonic rejoinder , and continued . ",anger
992,"When another patron tried to step in , the enraged lover flew at him . ",anger
993,Then she must sit in the sun before hauling it back up and altogether I was enraged and wished I was in a condition to show her how it should be done . ,anger
994,"Barbarossa sent a mandate requiring Milan to give up her claims , but the Milanese consuls tore up the document , and the imperial ambassador fled an enraged crowd . ",anger
995,This act of selfless good nature earned her a fine of one hundred francs and caused a riot in the Latin Quarter when enraged fans besieged the Prefecture of Police . ,anger
996,When he saw this he was further enraged and started towards the seer with an axe . ,anger
997,"According to Sheila , Caan was enraged and charged at her . ",anger
998,"The enraged animal charged into Christopher Rogers , pinning him to the ground . ",anger
999,This can be dangerous work : three field workers in Korup were trapped behind a tree by an enraged elephant after their tranquilliser dart missed its target . ,anger
1000,Furious Tory MPs now want to go to the High Court to force a new ballot . ,anger
1001,Though later when I did the piece in Vienna I was furious when the orchestra showed up with five basses and a dozen first violins . ,anger
1002,Lenin was furious when he learned about it . ,anger
1003,They looked furious when they saw our faces peering in and made frantic signs for us to close the curtains again . ,anger
1004,Mitchum was furious when he heard that . ,anger
1005,She had been furious when she saw my mask was wet . ,anger
1006,Irishman Mr MacSharry was so furious about Mr Delors ' interference that he resigned his post . ,anger
1007,Thames Valley Police are known to be furious about the case . ,anger
1008,Fruit and vegetable growers in the area are furious about the decision . ,anger
1009,His parents were furious over the engagement business . ,anger
1010,"The Lancashire members were furious when they heard that Gooch and the other England selectors had axed Red Rose favourite Phil DeFreitas , preferring Essex pacemen Neil Foster and Mark Ilott . ",anger
1011,The butcher becomes incensed . ,anger
1012,"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . ",anger
1013,"Lin Foh seemed incensed , but kept his voice down as they reached the outside steps of the Coroner 's Court . ",anger
1014,In her incensed whisper she called me names I did n't understand . ,anger
1015,"De Gaulle was incensed , ordered Massu 's recall to Paris , and , against the advice of several senior advisers , insisted that Massu should not be permitted to return to his command . ",anger
1016,"The bull tossed the effigy out of their hands and became very infuriated . "" ",anger
1017,The EC was infuriated . ,anger
1018,"In England wild storms swept the country , and commuters were infuriated and inconvenienced by the ASLEF dispute . ",anger
1019,The infuriated Milan Cardinal told the city governor that both the Chief of Police and the governor would be excommunicated if Landriani was not immediately released back to the convent . ,anger
1020,"An infuriated Charles ordered the battering of Newgate , where artillery breached the wall and hit the nearby Carmelite house ( now Whitefriars Museum where Civil War will be displayed ) supposedly killing two of the occupants . ",anger
1021,Lady followed her example rather than suffer at the hands of her infuriated master . ,anger
1022,"Matilda looked right back into the flashing eyes of this infuriated female giant and said with total calmness , ` I have not moved away from my desk , Miss Trunchbull , since the lesson began . ",anger
1023,In Oviedo an infuriated mob was only prevented from lynching the distinguished poet Melndez Valds by the appearance of priests with the exposed host . ,anger
1024,The insurance cover is designed to protect intermediaries against suits for damages brought by irate customers . ,anger
1025,"Hamnett became irate and , alleging breach of contract and damage to her image , threatened to sue him for a 500,000 . ",anger
1026,"At the sixth congress , in 1986 , irate delegates rejected a ridiculously optimistic programme that had been drafted in secret by Le Duan , the then secretary-general . ",anger
1027,This week an irate mother reportedly stormed into a London school and hauled her 15-year-old daughter out of a class in elementary sapphism . ,anger
1028,"The onlookers at first thought this accident was part of the show and were creased with laughter , making the poor man even more irate . ",anger
1029,NURSES are being given acting lessons -- to help them cope with irate patients . ,anger
1030,Michael Stein was trying unsuccessfully to calm an irate customer who was arguing about his bill . ,anger
1031,"Rebecca went in search of her bag , and Lissa sent an irate look in Adam 's direction . ",anger
1032,Thus if a particularly irate husband pronounced the words three times in the heat of the moment the divorce was permanent and could not be reversed . ,anger
1033,"There was one teacher who used to get so mad that she would throw slates around , with the whole class ducking out of the way . ",anger
1034,He says that he was so mad that he got a knife to scare them . ,anger
1035,"I shrug my shoulders , for no matter how mad he gets , he ca n't duff me in , he 's stuck in bed , which is his hard cheese . ",anger
1036,"How mad we 've been , Lyn . ",anger
1037,She really was mad about what she 'd just found in her freezer . ,anger
1038,But he still feels miffed and mystified as to why manager Kevin Keegan discarded him so readily from St James ' Park and why no other Premier League clubs were willing to hire his lethal skills . ,anger
1039,"Bank customers are notoriously slow to shift their business , even if they are miffed . ",anger
1040,"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question .",anger
1041,Some members of the UN Security Council will be miffed .,anger
1042,But conservatives are also miffed about Foster 's long ties to the Planned Parenthood Federation of America and the fact that his teen-age pregnancy program dispenses contraceptives .,anger
1043,"A miffed European Parliament head , President Jose Maria Gil -Robles , who is visiting Paris , promptly canceled a scheduled stop at de Charette 's office --- pending an apology .",anger
1044,"If Russia was miffed about the membership plans , other East European nations were delighted .",anger
1045,She was offended and took it all personally . ,anger
1046,"He hoped she was n't offended , as a Times reporter . ",anger
1047,"Indenbaum knew how badly Modigliani needed money so he tried to offer him a sum within his means for the beautiful oil , but Modigliani was offended and obliged Indenbaum to accept the portrait as a present . ",anger
1048,Nutty was not offended . ,anger
1049,Mrs Friar looked offended but continued . ,anger
1050,"The challenge was accepted and amidst cheers from a group of semi-inebriated local husbands , the offended owner headed out the door in search of a couple of friendly Gardai . ",anger
