,Text,Emotion
736,He looked down at her astonished face with darkly angled brows . ,surprise
737,His eyes flared over her astonished face . ,surprise
738,"Her astonished eyes were taking in his costume : gold-embroidered satin jacket , knee breeches and jabot of the eighteenth century . ",surprise
739,He discovered to his astonishment that Frank now professed atheism . ,surprise
740,It was a measure of Arnold 's astonishment that he used the dialect expression of concern . ,surprise
741,She realised with astonishment that he was actually pleading . ,surprise
742,"He stopped , becoming aware of the glare from his uncle and the frank astonishment from his agent . ",surprise
743,The anger and astonishment in her face gave way to something very like pity . ,surprise
744,"The boy bowed again , enjoying her astonishment in the same way he had enjoyed the applause of the T'ang earlier that day when he had played Tsu Tiao . ",surprise
745,"I heard no more of the debate and to the astonishment of my fellow delegates I stormed out of the auditorium and locked myself away in the Ladies to howl out my rage , alone . ",surprise
746,"It was there , that same until-then-pleasant morning , to the astonishment of all the workers in the Library , that Stour stumbled into the Great Chamber and laid his burden down . ",surprise
747,I chuckled at the astonishment on her face . ,surprise
748,"Suddenly , to the Collector 's astonishment , the Padre gripped him by the throat and shouted : "" A matter of opinion ! ",surprise
749,"As he drove out of his allotted space , to his astonishment he saw Alexandra about to get into her white saloon . ",surprise
750,Bob sat up on the bed and gazed at her in astonishment . ,surprise
751,The driver watched in astonishment as the car whacked into the side of his vehicle . ,surprise
752,"Her eyes were wide open , and upon her face was an expression of absolute astonishment . ",surprise
753,"Sonia and Helen flung themselves into my arms , to Joe 's great astonishment . ",surprise
754,"But when I looked up , I saw , to my great astonishment , a large island in the sky , between me and the sun . ",surprise
755,"To her own mild astonishment she murmured , ` I 'll try . "" ",surprise
756,Rebecque could not hide his astonishment . ,surprise
757,As he looked around he could not hide his astonishment . ,surprise
758,"Chambers shot him a look of astonishment , then turned to include Nora ",surprise
759,Elaine Morris stared out of the window in astonishment . ,surprise
760,He left so quickly that she stared in astonishment at the door he had closed behind him . ,surprise
761,"` A great number , "" said the astounded Mrs Phelps . ",surprise
762,"` You keep them , "" she cried , throwing the jewels into the plump lap of the astounded Soapy Finnegan . ",surprise
763,"Before the astounded car owner could react , the Prophet had pulled the door shut , reached over the back of the driver 's seat and jammed the muzzle of the gun into the man 's neck . ",surprise
764," What in the world  ?  began Rose , feeling quite bewildered as he let out an amused laugh . ",surprise
765,"Lucy felt slightly bewildered , but hid the fact as she turned to Stella . ",surprise
766,"She frowned , feeling slightly bewildered . ",surprise
767,"A delighted , if somewhat bewildered smile tugging at her own mouth , her eyes alight with laughter , she watched him melt into the crowds . ",surprise
768,"Schellenberg went out , closing the door , feeling totally bewildered . ",surprise
769,Joey seemed bewildered as he put one large hand on his mother 's shoulder . ,surprise
770,Andrus seemed totally bewildered . ,surprise
771,"At first , she was utterly bewildered when he burst out laughing . ",surprise
772,Kate 's voice was husky and bewildered . ,surprise
773,BANGOR 'S Alex Lightbody must be the most bewildered bowler in the NIBA this season . ,surprise
774,By now Nutmeg was so bewildered that he did n't know what to do . ,surprise
775,Natasha laughed at Maggie 's bewildered expression . ,surprise
776,"Benny looked around him , a bewildered expression on his face . ",surprise
777,He saw the bewildered look on Hencke 's face and led him towards two comfortable chairs which stood on either side of a low occasional table . ,surprise
778,"And she did , leaving a very bewildered Ellie to look round her at the well-equipped kitchen and the gently steaming kettle . ",surprise
779,"The sweat of moving packs of eighty pounds through the crush of bewildered , nervous men . ",surprise
780,Some even asked the bewildered woman to sign their jeans . ,surprise
781,A bewildered Dick Francis walks back to the weighing room as Devon Loch is led away . ,surprise
782,"When she still looked bewildered he said more harshly , ` I 'll take the heat off if you 'll show some appreciation . "" ",surprise
783,Police found the exhausted pensioner bewildered by the roadside . ,surprise
784,"At a nervous and hurriedly arranged press conference , the Ibrox publicity machine could barely paper the cracks between the departing boss and his bewildered chairman . ",surprise
785,Within moments the bewildered assistant cooks had tied the ropes to the cauldron and suspended the boiling mass over a forked spit rest . ,surprise
786,"She just looked up at him with bewildered eyes and he put her firmly away , turning to launch himself into the water . ",surprise
787,"Michael frowned at him , bewildered . ",surprise
